x,y,u
0.0000000000,0.0000000000,0.0000000000
0.0500000000,0.0000000000,0.0500000000
0.1000000000,0.0000000000,0.1000000000
0.1500000000,0.0000000000,0.1500000000
0.2000000000,0.0000000000,0.2000000000
0.2500000000,0.0000000000,0.2500000000
0.3000000000,0.0000000000,0.3000000000
0.3500000000,0.0000000000,0.3500000000
0.4000000000,0.0000000000,0.4000000000
0.4500000000,0.0000000000,0.4500000000
0.5000000000,0.0000000000,0.5000000000
0.5500000000,0.0000000000,0.5500000000
0.6000000000,0.0000000000,0.6000000000
0.6500000000,0.0000000000,0.6500000000
0.7000000000,0.0000000000,0.7000000000
0.7500000000,0.0000000000,0.7500000000
0.8000000000,0.0000000000,0.8000000000
0.8500000000,0.0000000000,0.8500000000
0.9000000000,0.0000000000,0.9000000000
0.9500000000,0.0000000000,0.9500000000
1.0000000000,0.0000000000,1.0000000000
0.0000000000,0.0500000000,0.0500000000
0.0500000000,0.0500000000,0.0991353110
0.1000000000,0.0500000000,0.1482922663
0.1500000000,0.0500000000,0.1974918991
0.2000000000,0.0500000000,0.2467540535
0.2500000000,0.0500000000,0.2960968664
0.3000000000,0.0500000000,0.3455363289
0.3500000000,0.0500000000,0.3950859355
0.4000000000,0.0500000000,0.4447564192
0.4500000000,0.0500000000,0.4945555645
0.5000000000,0.0500000000,0.5444880867
0.5500000000,0.0500000000,0.5945555645
0.6000000000,0.0500000000,0.6447564192
0.6500000000,0.0500000000,0.6950859355
0.7000000000,0.0500000000,0.7455363289
0.7500000000,0.0500000000,0.7960968664
0.8000000000,0.0500000000,0.8467540535
0.8500000000,0.0500000000,0.8974918992
0.9000000000,0.0500000000,0.9482922663
0.9500000000,0.0500000000,0.9991353110
1.0000000000,0.0500000000,1.0500000000
0.0000000000,0.1000000000,0.1000000000
0.0500000000,0.1000000000,0.1482489777
0.1000000000,0.1000000000,0.1965418550
0.1500000000,0.1000000000,0.2449212766
0.2000000000,0.1000000000,0.2934274486
0.2500000000,0.1000000000,0.3420970831
0.3000000000,0.1000000000,0.3909625137
0.3500000000,0.1000000000,0.4400509940
0.4000000000,0.1000000000,0.4893841767
0.4500000000,0.1000000000,0.5389777522
0.5000000000,0.1000000000,0.5888412177
0.5500000000,0.1000000000,0.6389777522
0.6000000000,0.1000000000,0.6893841767
0.6500000000,0.1000000000,0.7400509939
0.7000000000,0.1000000000,0.7909625137
0.7500000000,0.1000000000,0.8420970831
0.8000000000,0.1000000000,0.8934274486
0.8500000000,0.1000000000,0.9449212767
0.9000000000,0.1000000000,0.9965418551
0.9500000000,0.1000000000,1.0482489777
1.0000000000,0.1000000000,1.1000000000
0.0000000000,0.1500000000,0.1500000000
