x,y,u
0.0000000000,0.0000000000,2.0000000000
0.0250000000,0.0000000000,2.1246747334
0.0500000000,0.0000000000,2.2474039593
0.0750000000,0.0000000000,2.3662725291
0.1000000000,0.0000000000,2.4794255386
0.1250000000,0.0000000000,2.5850972729
0.1500000000,0.0000000000,2.6816387600
0.1750000000,0.0000000000,2.7675435022
0.2000000000,0.0000000000,2.8414709848
0.2250000000,0.0000000000,2.9022675941
0.2500000000,0.0000000000,2.9489846194
0.2750000000,0.0000000000,2.9808930570
0.3000000000,0.0000000000,2.9974949866
0.3250000000,0.0000000000,2.9985313405
0.3500000000,0.0000000000,2.9839859469
0.3750000000,0.0000000000,2.9540857816
0.4000000000,0.0000000000,2.9092974268
0.4250000000,0.0000000000,2.8503197898
0.4500000000,0.0000000000,2.7780731969
0.4750000000,0.0000000000,2.6936850320
0.5000000000,0.0000000000,2.5984721441
0.5250000000,0.0000000000,2.4939202986
0.5500000000,0.0000000000,2.3816609921
0.5750000000,0.0000000000,2.2634459934
0.6000000000,0.0000000000,2.1411200081
0.6250000000,0.0000000000,2.0165918922
0.6500000000,0.0000000000,1.8918048655
0.6750000000,0.0000000000,1.7687061876
0.7000000000,0.0000000000,1.6492167723
0.7250000000,0.0000000000,1.5352012120
0.7500000000,0.0000000000,1.4284386813
0.7750000000,0.0000000000,1.3305951738
0.8000000000,0.0000000000,1.2431975047
0.8250000000,0.0000000000,1.1676094854
0.8500000000,0.0000000000,1.1050106418
0.8750000000,0.0000000000,1.0563778077
0.9000000000,0.0000000000,1.0224698823
0.9250000000,0.0000000000,1.0038159875
0.9500000000,0.0000000000,1.0007072110
0.9750000000,0.0000000000,1.0131920643
1.0000000000,0.0000000000,1.0692942732
0.0000000000,0.0250000000,2.1246747334
0.0250000000,0.0250000000,2.2492624257
0.0500000000,0.0250000000,2.3678961534
0.0750000000,0.0250000000,2.4804171175
0.1000000000,0.0250000000,2.5854188402
0.1250000000,0.0250000000,2.6813467306
0.1500000000,0.0250000000,2.7667200620
0.1750000000,0.0250000000,2.8402033247
0.2000000000,0.0250000000,2.9006410004
0.2250000000,0.0250000000,2.9470800611
0.2500000000,0.0250000000,2.9787863376
0.2750000000,0.0250000000,2.9952564487
0.3000000000,0.0250000000,2.9962257590
0.3250000000,0.0250000000,2.9816724748
0.3500000000,0.0250000000,2.9518179063
0.3750000000,0.0250000000,2.9071229250
0.4000000000,0.0250000000,2.8482806876
0.4250000000,0.0250000000,2.7762057416
0.4500000000,0.0250000000,2.6920196867
0.4750000000,0.0250000000,2.5970336124
0.5000000000,0.0250000000,2.4927275880
0.5250000000,0.0250000000,2.3807275220
0.5500000000,0.0250000000,2.2627797527
0.5750000000,0.0250000000,2.1407237665
0.6000000000,0.0250000000,2.0164634686
0.6250000000,0.0250000000,1.8919374576
0.6500000000,0.0250000000,1.7690887680
0.6750000000,0.0250000000,1.6498345591
0.7000000000,0.0250000000,1.5360362298
0.7250000000,0.0250000000,1.4294704408
0.7500000000,0.0250000000,1.3318015257
0.7750000000,0.0250000000,1.2445557767
0.8000000000,0.0250000000,1.1690981296
0.8250000000,0.0250000000,1.1066118836
0.8500000000,0.0250000000,1.0580824442
0.8750000000,0.0250000000,1.0242871151
0.9000000000,0.0250000000,1.0057962206
0.9250000000,0.0250000000,1.0030016750
0.9500000000,0.0250000000,1.0162277712
0.9750000000,0.0250000000,1.0461261401
1.0000000000,0.0250000000,1.0951504009
0.0000000000,0.0500000000,2.2474039593
0.0250000000,0.0500000000,2.3678960576
0.0500000000,0.0500000000,2.4808716366
0.0750000000,0.0500000000,2.5857725289
0.1000000000,0.0500000000,2.6813911357
0.1250000000,0.0500000000,2.7663945219
0.1500000000,0.0500000000,2.8395129403
0.1750000000,0.0500000000,2.8996209495
0.2000000000,0.0500000000,2.9457791087
0.2250000000,0.0500000000,2.9772587416
0.2500000000,0.0500000000,2.9935577452
0.2750000000,0.0500000000,2.9944104336
0.3000000000,0.0500000000,2.9797925976
0.3250000000,0.0500000000,2.9499222810
0.3500000000,0.0500000000,2.9052565295
0.3750000000,0.0500000000,2.8464842890
0.4000000000,0.0500000000,2.7745156262
0.4250000000,0.0500000000,2.6904674730
0.4500000000,0.0500000000,2.5956461313
0.4750000000,0.0500000000,2.4915268214
0.5000000000,0.0500000000,2.3797305969
0.5250000000,0.0500000000,2.2619989879
0.5500000000,0.0500000000,2.1401667717
0.5750000000,0.0500000000,2.0161332955
0.6000000000,0.0500000000,1.8918328008
