================================================
  Task 2: u = sin(5(x+y)) + 2, lambda=x+y
  Equation: div(lambda * grad(u)) + q = 0
================================================

Domain:   [0, 1] x [0, 1]
Mesh:     40 x 40
Nodes:    1681
Elements: 3200

u_min = 1.000532
u_max = 2.998531
u_avg = 1.955150

Boundary conditions:
  x=0: Dirichlet  u = sin(5y) + 2
  x=1: Neumann   -(lambda*du/dn) = -(x+y)*5*cos(5(x+y))
  y=0: Dirichlet  u = sin(5x) + 2
  y=1: Neumann   -(lambda*du/dn) = -(x+y)*5*cos(5(x+y))

------------------------------------------------
  Node       x           y           u
------------------------------------------------
      0  0.00000000  0.00000000    2.00000000
      1  0.02500000  0.00000000    2.12467473
      2  0.05000000  0.00000000    2.24740396
      3  0.07500000  0.00000000    2.36627253
      4  0.10000000  0.00000000    2.47942554
      5  0.12500000  0.00000000    2.58509727
      6  0.15000000  0.00000000    2.68163876
      7  0.17500000  0.00000000    2.76754350
      8  0.20000000  0.00000000    2.84147098
      9  0.22500000  0.00000000    2.90226759
     10  0.25000000  0.00000000    2.94898462
     11  0.27500000  0.00000000    2.98089306
     12  0.30000000  0.00000000    2.99749499
     13  0.32500000  0.00000000    2.99853134
     14  0.35000000  0.00000000    2.98398595
     15  0.37500000  0.00000000    2.95408578
     16  0.40000000  0.00000000    2.90929743
     17  0.42500000  0.00000000    2.85031979
     18  0.45000000  0.00000000    2.77807320
     19  0.47500000  0.00000000    2.69368503
     20  0.50000000  0.00000000    2.59847214
     21  0.52500000  0.00000000    2.49392030
     22  0.55000000  0.00000000    2.38166099
     23  0.57500000  0.00000000    2.26344599
     24  0.60000000  0.00000000    2.14112001
     25  0.62500000  0.00000000    2.01659189
     26  0.65000000  0.00000000    1.89180487
     27  0.67500000  0.00000000    1.76870619
     28  0.70000000  0.00000000    1.64921677
     29  0.72500000  0.00000000    1.53520121
     30  0.75000000  0.00000000    1.42843868
     31  0.77500000  0.00000000    1.33059517
     32  0.80000000  0.00000000    1.24319750
     33  0.82500000  0.00000000    1.16760949
     34  0.85000000  0.00000000    1.10501064
     35  0.87500000  0.00000000    1.05637781
     36  0.90000000  0.00000000    1.02246988
     37  0.92500000  0.00000000    1.00381599
     38  0.95000000  0.00000000    1.00070721
     39  0.97500000  0.00000000    1.01319206
     40  1.00000000  0.00000000    1.06929427
     41  0.00000000  0.02500000    2.12467473
     42  0.02500000  0.02500000    2.24926243
     43  0.05000000  0.02500000    2.36789615
     44  0.07500000  0.02500000    2.48041712
     45  0.10000000  0.02500000    2.58541884
     46  0.12500000  0.02500000    2.68134673
     47  0.15000000  0.02500000    2.76672006
     48  0.17500000  0.02500000    2.84020332
     49  0.20000000  0.02500000    2.90064100
     50  0.22500000  0.02500000    2.94708006
     51  0.25000000  0.02500000    2.97878634
     52  0.27500000  0.02500000    2.99525645
     53  0.30000000  0.02500000    2.99622576
     54  0.32500000  0.02500000    2.98167247
     55  0.35000000  0.02500000    2.95181791
     56  0.37500000  0.02500000    2.90712293
     57  0.40000000  0.02500000    2.84828069
     58  0.42500000  0.02500000    2.77620574
     59  0.45000000  0.02500000    2.69201969
     60  0.47500000  0.02500000    2.59703361
     61  0.50000000  0.02500000    2.49272759
     62  0.52500000  0.02500000    2.38072752
     63  0.55000000  0.02500000    2.26277975
     64  0.57500000  0.02500000    2.14072377
     65  0.60000000  0.02500000    2.01646347
     66  0.62500000  0.02500000    1.89193746
     67  0.65000000  0.02500000    1.76908877
     68  0.67500000  0.02500000    1.64983456
     69  0.70000000  0.02500000    1.53603623
     70  0.72500000  0.02500000    1.42947044
     71  0.75000000  0.02500000    1.33180153
     72  0.77500000  0.02500000    1.24455578
     73  0.80000000  0.02500000    1.16909813
     74  0.82500000  0.02500000    1.10661188
     75  0.85000000  0.02500000    1.05808244
     76  0.87500000  0.02500000    1.02428712
     77  0.90000000  0.02500000    1.00579622
     78  0.92500000  0.02500000    1.00300168
     79  0.95000000  0.02500000    1.01622777
     80  0.97500000  0.02500000    1.04612614
     81  1.00000000  0.02500000    1.09515040
     82  0.00000000  0.05000000    2.24740396
     83  0.02500000  0.05000000    2.36789606
     84  0.05000000  0.05000000    2.48087164
     85  0.07500000  0.05000000    2.58577253
     86  0.10000000  0.05000000    2.68139114
     87  0.12500000  0.05000000    2.76639452
     88  0.15000000  0.05000000    2.83951294
     89  0.17500000  0.05000000    2.89962095
     90  0.20000000  0.05000000    2.94577911
     91  0.22500000  0.05000000    2.97725874
     92  0.25000000  0.05000000    2.99355775
     93  0.27500000  0.05000000    2.99441043
     94  0.30000000  0.05000000    2.97979260
     95  0.32500000  0.05000000    2.94992228
     96  0.35000000  0.05000000    2.90525653
     97  0.37500000  0.05000000    2.84648429
     98  0.40000000  0.05000000    2.77451563
     99  0.42500000  0.05000000    2.69046747
    100  0.45000000  0.05000000    2.59564613
    101  0.47500000  0.05000000    2.49152682
    102  0.50000000  0.05000000    2.37973060
    103  0.52500000  0.05000000    2.26199899
    104  0.55000000  0.05000000    2.14016677
    105  0.57500000  0.05000000    2.01613330
    106  0.60000000  0.05000000    1.89183280
    107  0.62500000  0.05000000    1.76920422
    108  0.65000000  0.05000000    1.65016089
    109  0.67500000  0.05000000    1.53656076
    110  0.70000000  0.05000000    1.43017740
    111  0.72500000  0.05000000    1.33267245
    112  0.75000000  0.05000000    1.24556993
    113  0.77500000  0.05000000    1.17023282
    114  0.80000000  0.05000000    1.10784249
    115  0.82500000  0.05000000    1.05938164
    116  0.85000000  0.05000000    1.02562151
    117  0.87500000  0.05000000    1.00711483
    118  0.90000000  0.05000000    1.00419711
    119  0.92500000  0.05000000    1.01699957
    120  0.95000000  0.05000000    1.04547261
    121  0.97500000  0.05000000    1.08936888
    122  1.00000000  0.05000000    1.14782589
    123  0.00000000  0.07500000    2.36627253
    124  0.02500000  0.07500000    2.48041679
    125  0.05000000  0.07500000    2.58577216
    126  0.07500000  0.07500000    2.68144970
    127  0.10000000  0.07500000    2.76631265
    128  0.12500000  0.07500000    2.83920258
    129  0.15000000  0.07500000    2.89905571
    130  0.17500000  0.07500000    2.94496654
    131  0.20000000  0.07500000    2.97622491
    132  0.22500000  0.07500000    2.99233850
    133  0.25000000  0.07500000    2.99304631
    134  0.27500000  0.07500000    2.97832570
    135  0.30000000  0.07500000    2.94839440
    136  0.32500000  0.07500000    2.90370783
    137  0.35000000  0.07500000    2.84495250
    138  0.37500000  0.07500000    2.77303544
    139  0.40000000  0.07500000    2.68907012
    140  0.42500000  0.07500000    2.59435909
    141  0.45000000  0.07500000    2.49037363
    142  0.47500000  0.07500000    2.37873073
    143  0.50000000  0.07500000    2.26116777
    144  0.52500000  0.07500000    2.13951541
    145  0.55000000  0.07500000    2.01566890
    146  0.57500000  0.07500000    1.89155852
    147  0.60000000  0.07500000    1.76911933
    148  0.62500000  0.07500000    1.65026104
    149  0.65000000  0.07500000    1.53683811
    150  0.67500000  0.07500000    1.43062089
    151  0.70000000  0.07500000    1.33326803
    152  0.72500000  0.07500000    1.24630067
    153  0.75000000  0.07500000    1.17107899
    154  0.77500000  0.07500000    1.10878128
    155  0.80000000  0.07500000    1.06038623
    156  0.82500000  0.07500000    1.02665863
    157  0.85000000  0.07500000    1.00813913
    158  0.87500000  0.07500000    1.00513822
    159  0.90000000  0.07500000    1.01773425
    160  0.92500000  0.07500000    1.04577273
